dataset,method,accuracy,precision,recall,macro_f1,model_path
custom,rule,0.5909,0.8182,0.5873,0.575,lab03/lab3plots/confusion_rule_custom.png
custom,nb,0.6364,0.683,0.6349,0.6379,lab03/lab3plots/confusion_nb_custom.png
custom,rf,0.6136,0.6481,0.6175,0.6109,lab03/lab3plots/confusion_rf_custom.png
custom,textblob,0.3409,0.1136,0.3333,0.1695,lab03/lab3plots/confusion_textblob_custom.png
custom,transformer,0.7727,0.8081,0.7778,0.7694,lab03/lab3plots/confusion_transformer_custom.png
custom,rule,0.5714,0.8182,0.5667,0.5417,lab03/lab3plots/confusion_rule_custom.png
custom,nb,0.3571,0.2583,0.3833,0.3,lab03/lab3plots/confusion_nb_custom.png
custom,rf,0.2857,0.2286,0.3,0.2545,lab03/lab3plots/confusion_rf_custom.png
custom,textblob,0.3571,0.119,0.3333,0.1754,lab03/lab3plots/confusion_textblob_custom.png
custom,transformer,0.7857,0.8222,0.8,0.7887,lab03/lab3plots/confusion_transformer_custom.png
custom,nb,0.3571,0.2583,0.3833,0.3,lab03/lab3plots/confusion_nb_custom.png
custom,rf,0.2857,0.2286,0.3,0.2545,lab03/lab3plots/confusion_rf_custom.png
custom,nb,0.3571,0.2583,0.3833,0.3,lab03/lab3plots/confusion_nb_custom.png
custom,rf,0.2857,0.2286,0.3,0.2545,lab03/lab3plots/confusion_rf_custom.png
