dataset,embedding,model,accuracy,macro_f1,seed
20news_group,bow,logreg,0.6333,0.637,42
20news_group,tfidf,logreg,0.725,0.7248,42
20news_group,word2vec,logreg,0.2833,0.2025,42
20news_group,glove,logreg,0.8,0.7995,42
20news_group,bow,nb,0.8,0.8038,42
20news_group,bow,rf,0.6667,0.6701,42
20news_group,bow,mlp,0.7417,0.7453,42
20news_group,bow,logreg,0.6333,0.637,42
20news_group,tfidf,nb,0.7833,0.7847,42
20news_group,tfidf,rf,0.65,0.6552,42
20news_group,tfidf,mlp,0.775,0.776,42
20news_group,tfidf,logreg,0.725,0.7248,42
20news_group,word2vec,nb,0.275,0.1876,42
20news_group,word2vec,rf,0.25,0.2477,42
20news_group,word2vec,mlp,0.2417,0.1154,42
20news_group,word2vec,logreg,0.2833,0.2025,42
20news_group,glove,nb,0.6917,0.6925,42
20news_group,glove,rf,0.6917,0.6927,42
20news_group,glove,mlp,0.7833,0.7831,42
20news_group,glove,logreg,0.8,0.7995,42
20news_group,bow,rf,0.7083,0.7164,42
20news_group,bow,nb,0.7833,0.7866,42
20news_group,tfidf,rf,0.675,0.6829,42
20news_group,tfidf,nb,0.8417,0.8415,42
20news_group,word2vec,rf,0.25,0.2487,42
20news_group,word2vec,nb,0.275,0.1876,42
20news_group,glove,rf,0.725,0.7238,42
20news_group,glove,nb,0.6917,0.6925,42
20news_group,bow,rf,0.725,0.7224,1337
20news_group,bow,nb,0.7917,0.7945,1337
20news_group,tfidf,rf,0.7,0.695,1337
20news_group,tfidf,nb,0.8333,0.8352,1337
20news_group,word2vec,rf,0.2833,0.2838,1337
20news_group,word2vec,nb,0.25,0.208,1337
20news_group,glove,rf,0.8167,0.8172,1337
20news_group,glove,nb,0.75,0.7478,1337
